preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,4.531378,True,False,True,False,0.8548387096774194,0.8465909090909092,0.8795454545454545,0.875,0.8181818181818182,
None (identity),None (identity),Gradient Boosting,5.908582,True,False,True,False,0.7903225806451613,0.7556818181818181,0.8130681818181819,0.875,0.6363636363636364,
None (identity),None (identity),Hist Gradient Boosting,2.586928,True,False,True,False,0.7903225806451613,0.7556818181818181,0.8238636363636364,0.875,0.6363636363636364,
None (identity),None (identity),Logistic Regression,0.142527,True,False,True,False,0.8064516129032258,0.7784090909090908,0.8363636363636364,0.875,0.6818181818181818,
None (identity),None (identity),SVM (linear),0.158606,True,False,True,False,0.8225806451612904,0.7909090909090909,0.8318181818181818,0.9,0.6818181818181818,
None (identity),None (identity),SVM (RBF),0.154026,True,False,True,False,0.8870967741935484,0.8715909090909091,0.8488636363636364,0.925,0.8181818181818182,
None (identity),None (identity),Decision Tree,0.111662,True,False,True,False,0.7741935483870968,0.7840909090909092,0.784090909090909,0.75,0.8181818181818182,
None (identity),None (identity),Naive Bayes,0.037991,True,False,True,False,0.6129032258064516,0.6795454545454546,0.7784090909090908,0.45,0.9090909090909091,
None (identity),None (identity),k-NN,0.036119,True,False,True,False,0.8064516129032258,0.7477272727272727,0.8426136363636364,0.95,0.5454545454545454,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),2.971458,True,False,True,False,0.8709677419354839,0.8590909090909091,0.8846590909090909,0.9,0.8181818181818182,
None (identity),None (identity),Nearest Shrunken Centroid,0.029176,True,False,True,False,0.6935483870967742,0.7318181818181818,0.7761363636363636,0.6,0.8636363636363636,
None (identity),PCA (50 components),Random Forest,4.42634,True,False,True,False,0.7580645161290323,0.7102272727272727,0.7948863636363636,0.875,0.5454545454545454,
None (identity),PCA (50 components),Gradient Boosting,0.577792,True,False,True,False,0.6451612903225806,0.6431818181818182,0.7386363636363636,0.65,0.6363636363636364,
None (identity),PCA (50 components),Hist Gradient Boosting,0.22661,True,False,True,False,0.6774193548387096,0.6272727272727273,0.7022727272727272,0.8,0.45454545454545453,
