preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,4.441516,True,False,True,False,0.8441558441558441,0.7196007259528131,0.9450998185117967,0.47368421052631576,0.9655172413793104,
None (identity),None (identity),Gradient Boosting,22.877969,True,False,True,False,0.8571428571428571,0.7813067150635209,0.8620689655172413,0.631578947368421,0.9310344827586207,
None (identity),None (identity),Hist Gradient Boosting,14.575521,True,False,True,False,0.948051948051948,0.9301270417422868,0.9872958257713248,0.8947368421052632,0.9655172413793104,
None (identity),None (identity),Logistic Regression,0.320026,True,False,True,False,0.961038961038961,0.9387477313974592,0.9900181488203266,0.8947368421052632,0.9827586206896551,
None (identity),None (identity),SVM (linear),0.425239,True,False,True,False,0.948051948051948,0.9301270417422868,0.985480943738657,0.8947368421052632,0.9655172413793104,
None (identity),None (identity),SVM (RBF),0.406062,True,False,True,False,0.948051948051948,0.912431941923775,0.9863883847549908,0.8421052631578947,0.9827586206896551,
None (identity),None (identity),Decision Tree,0.359321,True,False,True,False,0.8441558441558441,0.7726860254083485,0.7726860254083484,0.631578947368421,0.9137931034482759,
None (identity),None (identity),Naive Bayes,0.082592,True,False,True,False,0.7792207792207793,0.7295825771324864,0.8130671506352087,0.631578947368421,0.8275862068965517,
None (identity),None (identity),k-NN,0.064709,True,False,True,False,0.8961038961038961,0.9310344827586207,0.9605263157894737,1.0,0.8620689655172413,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),2.966966,True,False,True,False,0.8961038961038961,0.9133393829401089,0.971415607985481,0.9473684210526315,0.8793103448275862,
None (identity),None (identity),Nearest Shrunken Centroid,0.059796,True,False,True,False,0.7922077922077922,0.7912885662431942,0.809437386569873,0.7894736842105263,0.7931034482758621,
None (identity),PCA (50 components),Random Forest,4.770075,True,False,True,False,0.8441558441558441,0.6842105263157895,0.9641560798548093,0.3684210526315789,1.0,
