preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,4.818887,True,False,True,False,0.9583333333333334,0.94,0.9948936170212765,0.88,1.0,
None (identity),None (identity),Gradient Boosting,16.772158,True,False,True,False,0.8055555555555556,0.8042553191489361,0.7987234042553192,0.8,0.8085106382978723,
None (identity),None (identity),Hist Gradient Boosting,12.935767,True,False,True,False,0.9583333333333334,0.9587234042553192,0.929787234042553,0.96,0.9574468085106383,
None (identity),None (identity),Logistic Regression,0.241499,True,False,True,False,0.9722222222222222,0.9693617021276595,0.9982978723404256,0.96,0.9787234042553191,
None (identity),None (identity),SVM (linear),0.389567,True,False,True,False,0.9722222222222222,0.96,0.9948936170212767,0.92,1.0,
None (identity),None (identity),SVM (RBF),0.419508,True,False,True,False,0.9583333333333334,0.94,1.0,0.88,1.0,
None (identity),None (identity),Decision Tree,0.275813,True,False,True,False,0.7916666666666666,0.7936170212765958,0.7936170212765958,0.8,0.7872340425531915,
None (identity),None (identity),Naive Bayes,0.078545,True,False,True,False,0.9861111111111112,0.98,1.0,0.96,1.0,
None (identity),None (identity),k-NN,0.061218,True,False,True,False,0.9027777777777778,0.86,0.9825531914893617,0.72,1.0,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),3.09224,True,False,True,False,0.9861111111111112,0.98,0.9957446808510639,0.96,1.0,
None (identity),None (identity),Nearest Shrunken Centroid,0.056653,True,False,True,False,0.9444444444444444,0.9293617021276596,0.9280851063829787,0.88,0.9787234042553191,
None (identity),PCA (50 components),Random Forest,4.686766,True,False,True,False,0.9027777777777778,0.86,0.9557446808510638,0.72,1.0,
None (identity),PCA (50 components),Gradient Boosting,0.76544,True,False,True,False,0.8611111111111112,0.8374468085106384,0.8748936170212767,0.76,0.9148936170212766,
None (identity),PCA (50 components),Hist Gradient Boosting,0.469221,True,False,True,False,0.875,0.8668085106382979,0.908936170212766,0.84,0.8936170212765957,
None (identity),PCA (50 components),Logistic Regression,0.312517,True,False,True,False,0.9583333333333334,0.9587234042553192,0.9931914893617021,0.96,0.9574468085106383,
None (identity),PCA (50 components),SVM (linear),0.382436,True,False,True,False,0.9722222222222222,0.96,0.9948936170212767,0.92,1.0,
