preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,3.962521,True,False,True,False,0.994475138121547,0.9838709677419355,0.9993548387096773,0.967741935483871,1.0,
None (identity),None (identity),Gradient Boosting,104.320136,True,False,True,False,0.9558011049723757,0.9093548387096775,0.9834408602150538,0.8387096774193549,0.98,
None (identity),None (identity),Hist Gradient Boosting,102.843384,True,False,True,False,0.9834254143646409,0.9644086021505376,0.9974193548387096,0.9354838709677419,0.9933333333333333,
None (identity),None (identity),Logistic Regression,0.835532,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
None (identity),None (identity),SVM (linear),1.253171,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
None (identity),None (identity),SVM (RBF),1.59545,True,False,True,False,0.994475138121547,0.9966666666666666,0.9997849462365591,1.0,0.9933333333333333,
None (identity),None (identity),Decision Tree,1.482858,True,False,True,False,0.9337016574585635,0.8576344086021506,0.8576344086021506,0.7419354838709677,0.9733333333333334,
None (identity),None (identity),Naive Bayes,0.301674,True,False,True,False,0.988950276243094,0.9805376344086021,0.9965591397849463,0.967741935483871,0.9933333333333333,
None (identity),None (identity),k-NN,0.200239,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),3.221612,True,False,True,False,0.988950276243094,0.9933333333333334,0.9997849462365591,1.0,0.9866666666666667,
None (identity),None (identity),Nearest Shrunken Centroid,0.195642,True,False,True,False,0.9281767955801105,0.8415053763440861,0.8415053763440862,0.7096774193548387,0.9733333333333334,
None (identity),PCA (50 components),Random Forest,5.791304,True,False,True,False,0.9502762430939227,0.8676344086021506,0.9925806451612902,0.7419354838709677,0.9933333333333333,
None (identity),PCA (50 components),Gradient Boosting,2.055217,True,False,True,False,0.9502762430939227,0.9188172043010753,0.9710752688172043,0.8709677419354839,0.9666666666666667,
None (identity),PCA (50 components),Hist Gradient Boosting,1.494286,True,False,True,False,0.9723756906077348,0.9449462365591398,0.9948387096774193,0.9032258064516129,0.9866666666666667,
None (identity),PCA (50 components),Logistic Regression,1.113274,True,False,True,False,0.9834254143646409,0.99,0.9993548387096775,1.0,0.98,
None (identity),PCA (50 components),SVM (linear),1.162933,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
None (identity),PCA (50 components),SVM (RBF),1.179588,True,False,True,False,0.988950276243094,0.9933333333333334,0.9997849462365591,1.0,0.9866666666666667,
None (identity),PCA (50 components),Decision Tree,1.102854,True,False,True,False,0.9447513812154696,0.8898924731182796,0.8898924731182796,0.8064516129032258,0.9733333333333334,
None (identity),PCA (50 components),Naive Bayes,1.07542,True,False,True,False,0.9171270718232044,0.7836559139784947,0.9012903225806451,0.5806451612903226,0.9866666666666667,
None (identity),PCA (50 components),k-NN,1.089124,True,False,True,False,1.0,1.0,1.0,1.0,1.0,
None (identity),PCA (50 components),K-TSP (Top-Scoring Pairs),1.162452,True,False,True,False,0.7624309392265194,0.6903225806451614,0.7981720430107527,0.5806451612903226,0.8,
None (identity),PCA (50 components),Nearest Shrunken Centroid,1.085266,True,False,True,False,0.9281767955801105,0.8415053763440861,0.8415053763440862,0.7096774193548387,0.9733333333333334,
None (identity),Class-conditional PCA,Random Forest,5.395995,True,False,True,False,0.9558011049723757,0.8837634408602151,0.9976344086021506,0.7741935483870968,0.9933333333333333,
None (identity),Class-conditional PCA,Gradient Boosting,1.584667,True,False,True,False,0.9226519337016574,0.8381720430107527,0.8751612903225806,0.7096774193548387,0.9666666666666667,
None (identity),Class-conditional PCA,Hist Gradient Boosting,1.117926,True,False,True,False,0.9779005524861878,0.9738709677419355,0.9922580645161291,0.967741935483871,0.98,
None (identity),Class-conditional PCA,Logistic Regression,0.787897,True,False,True,False,0.994475138121547,0.9966666666666666,1.0,1.0,0.9933333333333333,
None (identity),Class-conditional PCA,SVM (linear),0.848233,True,False,True,False,1.0,1.0,0.9991397849462366,1.0,1.0,
None (identity),Class-conditional PCA,SVM (RBF),0.862516,True,False,True,False,0.9834254143646409,0.99,0.9978494623655915,1.0,0.98,
None (identity),Class-conditional PCA,Decision Tree,0.771127,True,False,True,False,0.9281767955801105,0.8415053763440861,0.8415053763440862,0.7096774193548387,0.9733333333333334,
None (identity),Class-conditional PCA,Naive Bayes,0.769504,True,False,True,False,0.9281767955801105,0.8287096774193548,0.9688172043010752,0.6774193548387096,0.98,
None (identity),Class-conditional PCA,k-NN,0.765517,True,False,True,False,0.9502762430939227,0.8548387096774194,0.96,0.7096774193548387,1.0,
None (identity),Class-conditional PCA,K-TSP (Top-Scoring Pairs),0.821285,True,False,True,False,0.9281767955801105,0.9438709677419355,0.9793548387096774,0.967741935483871,0.92,
None (identity),Class-conditional PCA,Nearest Shrunken Centroid,0.75772,True,False,True,False,0.9116022099447514,0.8187096774193547,0.8341935483870968,0.6774193548387096,0.96,
None (identity),Rank transform (TSP-style),Random Forest,5.629358,True,False,True,False,0.994475138121547,0.9838709677419355,0.9995698924731183,0.967741935483871,1.0,
None (identity),Rank transform (TSP-style),Gradient Boosting,98.347075,True,False,True,False,0.9502762430939227,0.9060215053763441,0.9372043010752689,0.8387096774193549,0.9733333333333334,
None (identity),Rank transform (TSP-style),Hist Gradient Boosting,108.454318,True,False,True,False,0.994475138121547,0.9838709677419355,0.998494623655914,0.967741935483871,1.0,
None (identity),Rank transform (TSP-style),Logistic Regression,2.658435,True,False,True,False,0.994475138121547,0.9838709677419355,0.9997849462365591,0.967741935483871,1.0,
None (identity),Rank transform (TSP-style),SVM (linear),3.623862,True,False,True,False,0.994475138121547,0.9838709677419355,1.0,0.967741935483871,1.0,
None (identity),Rank transform (TSP-style),SVM (RBF),4.194256,True,False,True,False,0.994475138121547,0.9838709677419355,0.9997849462365591,0.967741935483871,1.0,
None (identity),Rank transform (TSP-style),Decision Tree,3.050145,True,False,True,False,0.9281767955801105,0.8798924731182796,0.8798924731182796,0.8064516129032258,0.9533333333333334,
None (identity),Rank transform (TSP-style),Naive Bayes,1.901409,True,False,True,False,0.9834254143646409,0.9772043010752689,0.9772043010752689,0.967741935483871,0.9866666666666667,
None (identity),Rank transform (TSP-style),k-NN,1.839353,True,False,True,False,0.988950276243094,0.967741935483871,1.0,0.9354838709677419,1.0,
None (identity),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),4.875341,True,False,True,False,0.9834254143646409,0.99,0.999247311827957,1.0,0.98,
None (identity),Rank transform (TSP-style),Nearest Shrunken Centroid,1.814447,True,False,True,False,0.988950276243094,0.9805376344086021,0.9805376344086021,0.967741935483871,0.9933333333333333,
None (identity),Select best 500 genes,Random Forest,4.951997,True,False,True,False,0.994475138121547,0.9838709677419355,0.9995698924731182,0.967741935483871,1.0,
None (identity),Select best 500 genes,Gradient Boosting,4.535231,True,False,True,False,0.9668508287292817,0.9288172043010753,0.9868817204301075,0.8709677419354839,0.9866666666666667,
None (identity),Select best 500 genes,Hist Gradient Boosting,2.754936,True,False,True,False,0.9779005524861878,0.9610752688172043,0.9961290322580646,0.9354838709677419,0.9866666666666667,
None (identity),Select best 500 genes,Logistic Regression,0.309795,True,False,True,False,0.9834254143646409,0.9644086021505376,0.998494623655914,0.9354838709677419,0.9933333333333333,
None (identity),Select best 500 genes,SVM (linear),0.38601,True,False,True,False,0.994475138121547,0.9838709677419355,0.9997849462365591,0.967741935483871,1.0,
None (identity),Select best 500 genes,SVM (RBF),0.377702,True,False,True,False,0.9834254143646409,0.9772043010752689,0.9991397849462366,0.967741935483871,0.9866666666666667,
None (identity),Select best 500 genes,Decision Tree,0.32347,True,False,True,False,0.9558011049723757,0.9093548387096775,0.9093548387096775,0.8387096774193549,0.98,
None (identity),Select best 500 genes,Naive Bayes,0.273498,True,False,True,False,0.988950276243094,0.9805376344086021,0.9963440860215054,0.967741935483871,0.9933333333333333,
None (identity),Select best 500 genes,k-NN,0.284246,True,False,True,False,0.9834254143646409,0.9516129032258065,0.9835483870967742,0.9032258064516129,1.0,
None (identity),Select best 500 genes,K-TSP (Top-Scoring Pairs),3.328937,True,False,True,False,0.9834254143646409,0.9644086021505376,0.9982795698924731,0.9354838709677419,0.9933333333333333,
None (identity),Select best 500 genes,Nearest Shrunken Centroid,0.267487,True,False,True,False,0.9281767955801105,0.8159139784946237,0.8159139784946235,0.6451612903225806,0.9866666666666667,
Standardize (z-score),None (identity),Random Forest,4.30377,True,False,True,False,0.994475138121547,0.9838709677419355,0.9993548387096773,0.967741935483871,1.0,
Standardize (z-score),None (identity),Gradient Boosting,102.262899,True,False,True,False,0.9558011049723757,0.9093548387096775,0.9834408602150538,0.8387096774193549,0.98,
Standardize (z-score),None (identity),Hist Gradient Boosting,103.888235,True,False,True,False,0.9834254143646409,0.9644086021505376,0.9974193548387096,0.9354838709677419,0.9933333333333333,
Standardize (z-score),None (identity),Logistic Regression,0.990702,True,False,True,False,0.994475138121547,0.9838709677419355,1.0,0.967741935483871,1.0,
Standardize (z-score),None (identity),SVM (linear),2.276312,True,False,True,False,0.988950276243094,0.967741935483871,1.0,0.9354838709677419,1.0,
Standardize (z-score),None (identity),SVM (RBF),3.882649,True,False,True,False,0.9723756906077348,0.9705376344086022,0.9913978494623656,0.967741935483871,0.9733333333333334,
Standardize (z-score),None (identity),Decision Tree,1.56439,True,False,True,False,0.9337016574585635,0.8576344086021506,0.8576344086021506,0.7419354838709677,0.9733333333333334,
Standardize (z-score),None (identity),Naive Bayes,0.369436,True,False,True,False,0.9779005524861878,0.9610752688172043,0.9610752688172044,0.9354838709677419,0.9866666666666667,
Standardize (z-score),None (identity),k-NN,0.278556,True,False,True,False,0.9171270718232044,0.7580645161290323,0.9826881720430107,0.5161290322580645,1.0,
Standardize (z-score),None (identity),K-TSP (Top-Scoring Pairs),3.333247,True,False,True,False,0.9005524861878453,0.9016129032258065,0.9613978494623656,0.9032258064516129,0.9,
Standardize (z-score),None (identity),Nearest Shrunken Centroid,0.277299,True,False,True,False,0.988950276243094,0.9805376344086021,0.9997849462365591,0.967741935483871,0.9933333333333333,
Standardize (z-score),PCA (50 components),Random Forest,5.799524,True,False,True,False,0.9668508287292817,0.9160215053763441,0.9978494623655915,0.8387096774193549,0.9933333333333333,
Standardize (z-score),PCA (50 components),Gradient Boosting,1.896609,True,False,True,False,0.9668508287292817,0.9416129032258065,0.9306451612903225,0.9032258064516129,0.98,
Standardize (z-score),PCA (50 components),Hist Gradient Boosting,1.560811,True,False,True,False,0.9779005524861878,0.9482795698924731,0.9954838709677419,0.9032258064516129,0.9933333333333333,
Standardize (z-score),PCA (50 components),Logistic Regression,1.193852,True,False,True,False,0.994475138121547,0.9838709677419355,1.0,0.967741935483871,1.0,
Standardize (z-score),PCA (50 components),SVM (linear),1.251595,True,False,True,False,0.988950276243094,0.967741935483871,1.0,0.9354838709677419,1.0,
Standardize (z-score),PCA (50 components),SVM (RBF),1.25927,True,False,True,False,0.9723756906077348,0.9193548387096775,1.0,0.8387096774193549,1.0,
Standardize (z-score),PCA (50 components),Decision Tree,1.162054,True,False,True,False,0.9668508287292817,0.9416129032258065,0.9416129032258065,0.9032258064516129,0.98,
Standardize (z-score),PCA (50 components),Naive Bayes,1.158905,True,False,True,False,0.8950276243093923,0.7063440860215053,0.9761290322580645,0.41935483870967744,0.9933333333333333,
Standardize (z-score),PCA (50 components),k-NN,1.15732,True,False,True,False,0.9281767955801105,0.7903225806451613,0.9344086021505377,0.5806451612903226,1.0,
Standardize (z-score),PCA (50 components),K-TSP (Top-Scoring Pairs),1.232329,True,False,True,False,0.7569060773480663,0.8533333333333333,0.973763440860215,1.0,0.7066666666666667,
Standardize (z-score),PCA (50 components),Nearest Shrunken Centroid,1.149184,True,False,True,False,0.9668508287292817,0.9032258064516129,0.9989247311827957,0.8064516129032258,1.0,
Standardize (z-score),Class-conditional PCA,Random Forest,5.494372,True,False,True,False,0.9116022099447514,0.7547311827956988,0.9831182795698925,0.5161290322580645,0.9933333333333333,
Standardize (z-score),Class-conditional PCA,Gradient Boosting,1.706463,True,False,True,False,0.8784530386740331,0.7091397849462365,0.9430107526881721,0.45161290322580644,0.9666666666666667,
Standardize (z-score),Class-conditional PCA,Hist Gradient Boosting,1.211868,True,False,True,False,0.9668508287292817,0.9032258064516129,0.9935483870967742,0.8064516129032258,1.0,
