preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,4.540961,True,False,True,False,0.9696969696969697,0.9444444444444444,1.0,1.0,0.8888888888888888,
None (identity),None (identity),Gradient Boosting,7.725365,True,False,True,False,0.9393939393939394,0.8888888888888888,0.9907407407407407,1.0,0.7777777777777778,
None (identity),None (identity),Hist Gradient Boosting,32.59994,True,False,True,False,0.8181818181818182,0.8055555555555556,0.8356481481481481,0.8333333333333334,0.7777777777777778,
None (identity),None (identity),Logistic Regression,0.273342,True,False,True,False,0.9090909090909091,0.9027777777777777,0.986111111111111,0.9166666666666666,0.8888888888888888,
None (identity),None (identity),SVM (linear),0.229499,True,False,True,False,0.9090909090909091,0.9027777777777777,0.9907407407407407,0.9166666666666666,0.8888888888888888,
None (identity),None (identity),SVM (RBF),0.237721,True,False,True,False,0.9696969696969697,0.9444444444444444,0.9907407407407407,1.0,0.8888888888888888,
None (identity),None (identity),Decision Tree,0.14698,True,False,True,False,0.8484848484848485,0.8611111111111112,0.8611111111111112,0.8333333333333334,0.8888888888888888,
None (identity),None (identity),Naive Bayes,0.067161,True,False,True,False,0.9393939393939394,0.9583333333333333,0.9745370370370372,0.9166666666666666,1.0,
None (identity),None (identity),k-NN,0.052797,True,False,True,False,0.9393939393939394,0.9583333333333333,0.9907407407407407,0.9166666666666666,1.0,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),3.087079,True,False,True,False,0.8181818181818182,0.7708333333333333,0.9583333333333334,0.875,0.6666666666666666,
None (identity),None (identity),Nearest Shrunken Centroid,0.050243,True,False,True,False,0.9696969696969697,0.9791666666666667,0.9791666666666667,0.9583333333333334,1.0,
None (identity),PCA (50 components),Random Forest,4.360331,True,False,True,False,0.9090909090909091,0.8333333333333333,0.9050925925925927,1.0,0.6666666666666666,
None (identity),PCA (50 components),Gradient Boosting,0.49867,True,False,True,False,0.9090909090909091,0.9027777777777777,0.8958333333333334,0.9166666666666666,0.8888888888888888,
None (identity),PCA (50 components),Hist Gradient Boosting,0.350155,True,False,True,False,0.9090909090909091,0.9027777777777777,0.9351851851851851,0.9166666666666666,0.8888888888888888,
None (identity),PCA (50 components),Logistic Regression,0.218356,True,False,True,False,0.7878787878787878,0.8541666666666667,0.9583333333333334,0.7083333333333334,1.0,
None (identity),PCA (50 components),SVM (linear),0.276277,True,False,True,False,0.9090909090909091,0.9027777777777777,0.9907407407407407,0.9166666666666666,0.8888888888888888,
None (identity),PCA (50 components),SVM (RBF),0.275708,True,False,True,False,0.9090909090909091,0.9027777777777777,0.986111111111111,0.9166666666666666,0.8888888888888888,
None (identity),PCA (50 components),Decision Tree,0.19626,True,False,True,False,0.9090909090909091,0.9027777777777777,0.9027777777777777,0.9166666666666666,0.8888888888888888,
None (identity),PCA (50 components),Naive Bayes,0.197969,True,False,True,False,0.8181818181818182,0.7361111111111112,0.9166666666666666,0.9166666666666666,0.5555555555555556,
None (identity),PCA (50 components),k-NN,0.197949,True,False,True,False,0.9393939393939394,0.9583333333333333,0.9907407407407407,0.9166666666666666,1.0,
None (identity),PCA (50 components),K-TSP (Top-Scoring Pairs),0.213195,True,False,True,False,0.7878787878787878,0.8541666666666667,0.9467592592592592,0.7083333333333334,1.0,
None (identity),PCA (50 components),Nearest Shrunken Centroid,0.189877,True,False,True,False,0.9696969696969697,0.9791666666666667,0.9791666666666667,0.9583333333333334,1.0,
None (identity),Class-conditional PCA,Random Forest,4.382622,True,False,True,False,0.9393939393939394,0.9236111111111112,0.9907407407407407,0.9583333333333334,0.8888888888888888,
None (identity),Class-conditional PCA,Gradient Boosting,0.483379,True,False,True,False,0.8787878787878788,0.8472222222222222,0.9305555555555555,0.9166666666666666,0.7777777777777778,
None (identity),Class-conditional PCA,Hist Gradient Boosting,0.34501,True,False,True,False,0.7878787878787878,0.7152777777777778,0.8888888888888888,0.875,0.5555555555555556,
None (identity),Class-conditional PCA,Logistic Regression,0.196376,True,False,True,False,0.8787878787878788,0.8819444444444444,0.9768518518518519,0.875,0.8888888888888888,
