preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,3.749264,True,False,True,False,0.8,0.7385964912280703,0.8176315789473684,0.9105263157894737,0.5666666666666667,
None (identity),None (identity),Gradient Boosting,300.0,False,True,False,True,nan,nan,nan,nan,nan,timed out after 300.0s
None (identity),None (identity),Hist Gradient Boosting,199.393341,True,False,True,False,0.8178571428571428,0.7692982456140351,0.8244444444444444,0.9052631578947369,0.6333333333333333,
None (identity),None (identity),Logistic Regression,1.90335,True,False,True,False,0.7785714285714286,0.7725146198830409,0.842280701754386,0.7894736842105263,0.7555555555555555,
None (identity),None (identity),SVM (linear),6.534847,True,False,True,False,0.8142857142857143,0.7988304093567251,0.8378362573099415,0.8421052631578947,0.7555555555555555,
None (identity),None (identity),SVM (RBF),10.874235,True,False,True,False,0.8,0.7415204678362572,0.8711695906432748,0.9052631578947369,0.5777777777777777,
None (identity),None (identity),Decision Tree,7.061873,True,False,True,False,0.6714285714285714,0.62046783625731,0.62046783625731,0.7631578947368421,0.4777777777777778,
None (identity),None (identity),Naive Bayes,0.716212,True,False,True,False,0.6892857142857143,0.6453216374269006,0.6558479532163742,0.7684210526315789,0.5222222222222223,
None (identity),None (identity),k-NN,0.388598,True,False,True,False,0.7821428571428571,0.7137426900584796,0.7820760233918128,0.9052631578947369,0.5222222222222223,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),3.463619,True,False,True,False,0.7107142857142857,0.6845029239766083,0.7141520467836258,0.7578947368421053,0.6111111111111112,
None (identity),None (identity),Nearest Shrunken Centroid,0.395779,True,False,True,False,0.675,0.6523391812865498,0.6523976608187134,0.7157894736842105,0.5888888888888889,
None (identity),PCA (50 components),Random Forest,6.566754,True,False,True,False,0.7571428571428571,0.6660818713450292,0.7722514619883041,0.9210526315789473,0.4111111111111111,
None (identity),PCA (50 components),Gradient Boosting,3.135693,True,False,True,False,0.7392857142857143,0.67046783625731,0.7819298245614035,0.8631578947368421,0.4777777777777778,
None (identity),PCA (50 components),Hist Gradient Boosting,2.360394,True,False,True,False,0.7464285714285714,0.7166666666666667,0.794093567251462,0.8,0.6333333333333333,
None (identity),PCA (50 components),Logistic Regression,6.355478,True,False,False,True,0.7142857142857143,0.7309941520467836,0.7689473684210526,0.6842105263157895,0.7777777777777778,
None (identity),PCA (50 components),SVM (linear),3.98941,True,False,False,True,0.7535714285714286,0.7394736842105263,0.7817543859649123,0.7789473684210526,0.7,
None (identity),PCA (50 components),SVM (RBF),1.910302,True,False,True,False,0.8035714285714286,0.7383040935672515,0.8688304093567251,0.9210526315789473,0.5555555555555556,
None (identity),PCA (50 components),Decision Tree,1.772916,True,False,True,False,0.6571428571428571,0.5865497076023392,0.5865497076023392,0.7842105263157895,0.3888888888888889,
None (identity),PCA (50 components),Naive Bayes,1.771759,True,False,True,False,0.7107142857142857,0.6435672514619883,0.7135087719298245,0.8315789473684211,0.45555555555555555,
None (identity),PCA (50 components),k-NN,1.753885,True,False,True,False,0.8071428571428572,0.7263157894736842,0.7760233918128655,0.9526315789473684,0.5,
None (identity),PCA (50 components),K-TSP (Top-Scoring Pairs),1.856039,True,False,True,False,0.6035714285714285,0.5909356725146199,0.6297076023391813,0.6263157894736842,0.5555555555555556,
None (identity),PCA (50 components),Nearest Shrunken Centroid,1.745541,True,False,True,False,0.6714285714285714,0.6497076023391812,0.6513450292397661,0.7105263157894737,0.5888888888888889,
None (identity),Class-conditional PCA,Random Forest,6.193748,True,False,True,False,0.7857142857142857,0.7309941520467835,0.8056140350877193,0.8842105263157894,0.5777777777777777,
None (identity),Class-conditional PCA,Gradient Boosting,2.646518,True,False,True,False,0.7535714285714286,0.6985380116959063,0.8036842105263157,0.8526315789473684,0.5444444444444444,
None (identity),Class-conditional PCA,Hist Gradient Boosting,1.989695,True,False,True,False,0.7571428571428571,0.7128654970760234,0.7904678362573099,0.8368421052631579,0.5888888888888889,
None (identity),Class-conditional PCA,Logistic Regression,5.09465,True,False,True,False,0.7642857142857142,0.7444444444444445,0.8117543859649123,0.8,0.6888888888888889,
None (identity),Class-conditional PCA,SVM (linear),15.536719,True,False,False,True,0.7428571428571429,0.7345029239766082,0.4950292397660819,0.7578947368421053,0.7111111111111111,
None (identity),Class-conditional PCA,SVM (RBF),1.591136,True,False,True,False,0.7964285714285714,0.7242690058479533,0.8214035087719298,0.9263157894736842,0.5222222222222223,
None (identity),Class-conditional PCA,Decision Tree,1.467327,True,False,True,False,0.7285714285714285,0.7035087719298245,0.7035087719298245,0.7736842105263158,0.6333333333333333,
None (identity),Class-conditional PCA,Naive Bayes,1.460156,True,False,True,False,0.7142857142857143,0.6374269005847953,0.7449707602339182,0.8526315789473684,0.4222222222222222,
None (identity),Class-conditional PCA,k-NN,1.468905,True,False,True,False,0.7285714285714285,0.6245614035087719,0.7239473684210527,0.9157894736842105,0.3333333333333333,
None (identity),Class-conditional PCA,K-TSP (Top-Scoring Pairs),1.507385,True,False,True,False,0.6892857142857143,0.6570175438596491,0.716812865497076,0.7473684210526316,0.5666666666666667,
None (identity),Class-conditional PCA,Nearest Shrunken Centroid,1.458958,True,False,True,False,0.6035714285714285,0.5880116959064328,0.5981286549707602,0.631578947368421,0.5444444444444444,
None (identity),Rank transform (TSP-style),Random Forest,6.580295,True,False,True,False,0.8,0.7327485380116958,0.8366081871345029,0.9210526315789473,0.5444444444444444,
None (identity),Rank transform (TSP-style),Gradient Boosting,300.0,False,True,False,True,nan,nan,nan,nan,nan,timed out after 300.0s
None (identity),Rank transform (TSP-style),Hist Gradient Boosting,225.533249,True,False,True,False,0.8142857142857143,0.7666666666666666,0.8583040935672515,0.9,0.6333333333333333,
None (identity),Rank transform (TSP-style),Logistic Regression,4.735262,True,False,True,False,0.85,0.8368421052631579,0.8976023391812864,0.8736842105263158,0.8,
None (identity),Rank transform (TSP-style),SVM (linear),15.367868,True,False,True,False,0.8535714285714285,0.8248538011695907,0.8798830409356725,0.9052631578947369,0.7444444444444445,
None (identity),Rank transform (TSP-style),SVM (RBF),17.880288,True,False,True,False,0.8392857142857143,0.8026315789473684,0.8789473684210527,0.9052631578947369,0.7,
