preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,3.649258,True,False,True,False,0.8823529411764706,0.8823076923076922,0.928076923076923,0.8846153846153846,0.88,
None (identity),None (identity),Gradient Boosting,64.208561,True,False,True,False,0.8921568627450981,0.8911538461538462,0.9176923076923076,0.9423076923076923,0.84,
None (identity),None (identity),Hist Gradient Boosting,47.221973,True,False,True,False,0.9215686274509803,0.9219230769230768,0.961923076923077,0.9038461538461539,0.94,
None (identity),None (identity),Logistic Regression,1.027868,True,False,True,False,0.8823529411764706,0.8811538461538462,0.9457692307692308,0.9423076923076923,0.82,
None (identity),None (identity),SVM (linear),1.168752,True,False,True,False,0.9019607843137255,0.9011538461538462,0.9403846153846153,0.9423076923076923,0.86,
None (identity),None (identity),SVM (RBF),1.35914,True,False,True,False,0.8627450980392157,0.8623076923076922,0.9215384615384615,0.8846153846153846,0.84,
None (identity),None (identity),Decision Tree,0.856655,True,False,True,False,0.7941176470588235,0.7934615384615384,0.7934615384615384,0.8269230769230769,0.76,
None (identity),None (identity),Naive Bayes,0.271518,True,False,True,False,0.6274509803921569,0.6219230769230769,0.6213461538461538,0.9038461538461539,0.34,
None (identity),None (identity),k-NN,0.142159,True,False,True,False,0.7647058823529411,0.7657692307692308,0.8378846153846153,0.7115384615384616,0.82,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),4.461775,True,False,True,False,0.8921568627450981,0.8915384615384616,0.9425,0.9230769230769231,0.86,
None (identity),None (identity),Nearest Shrunken Centroid,0.136037,True,False,True,False,0.6568627450980392,0.6526923076923077,0.6584615384615384,0.8653846153846154,0.44,
None (identity),PCA (50 components),Random Forest,5.031811,True,False,True,False,0.8333333333333334,0.8334615384615385,0.9171153846153846,0.8269230769230769,0.84,
None (identity),PCA (50 components),Gradient Boosting,1.812585,True,False,True,False,0.7843137254901961,0.7823076923076924,0.8880769230769231,0.8846153846153846,0.68,
None (identity),PCA (50 components),Hist Gradient Boosting,1.249766,True,False,True,False,0.8137254901960784,0.815,0.9042307692307693,0.75,0.88,
None (identity),PCA (50 components),Logistic Regression,0.97845,True,False,True,False,0.8529411764705882,0.8523076923076922,0.9373076923076923,0.8846153846153846,0.82,
None (identity),PCA (50 components),SVM (linear),1.027738,True,False,True,False,0.8627450980392157,0.8619230769230769,0.9303846153846154,0.9038461538461539,0.82,
None (identity),PCA (50 components),SVM (RBF),1.061857,True,False,True,False,0.8529411764705882,0.8523076923076922,0.9111538461538461,0.8846153846153846,0.82,
None (identity),PCA (50 components),Decision Tree,0.999577,True,False,True,False,0.7745098039215687,0.7738461538461539,0.7738461538461539,0.8076923076923077,0.74,
None (identity),PCA (50 components),Naive Bayes,0.965466,True,False,True,False,0.7843137254901961,0.7826923076923077,0.8542307692307692,0.8653846153846154,0.7,
None (identity),PCA (50 components),k-NN,1.033111,True,False,True,False,0.7647058823529411,0.7653846153846153,0.8388461538461538,0.7307692307692307,0.8,
None (identity),PCA (50 components),K-TSP (Top-Scoring Pairs),1.045552,True,False,True,False,0.7549019607843137,0.7561538461538462,0.8588461538461538,0.6923076923076923,0.82,
None (identity),PCA (50 components),Nearest Shrunken Centroid,0.976212,True,False,True,False,0.6568627450980392,0.6526923076923077,0.6675,0.8653846153846154,0.44,
None (identity),Class-conditional PCA,Random Forest,4.488274,True,False,True,False,0.8725490196078431,0.8723076923076922,0.9405769230769231,0.8846153846153846,0.86,
None (identity),Class-conditional PCA,Gradient Boosting,1.469722,True,False,True,False,0.8333333333333334,0.8346153846153846,0.9534615384615385,0.7692307692307693,0.9,
None (identity),Class-conditional PCA,Hist Gradient Boosting,1.03869,True,False,True,False,0.8627450980392157,0.8619230769230769,0.9296153846153846,0.9038461538461539,0.82,
None (identity),Class-conditional PCA,Logistic Regression,0.980353,True,False,True,False,0.8235294117647058,0.823076923076923,0.8907692307692306,0.8461538461538461,0.8,
None (identity),Class-conditional PCA,SVM (linear),0.937242,True,False,True,False,0.8137254901960784,0.8134615384615385,0.883846153846154,0.8269230769230769,0.8,
None (identity),Class-conditional PCA,SVM (RBF),0.881068,True,False,True,False,0.7450980392156863,0.7457692307692307,0.8376923076923076,0.7115384615384616,0.78,
None (identity),Class-conditional PCA,Decision Tree,0.752874,True,False,True,False,0.7745098039215687,0.7746153846153847,0.7746153846153846,0.7692307692307693,0.78,
None (identity),Class-conditional PCA,Naive Bayes,0.744749,True,False,True,False,0.8137254901960784,0.811923076923077,0.8842307692307692,0.9038461538461539,0.72,
None (identity),Class-conditional PCA,k-NN,0.798542,True,False,True,False,0.696078431372549,0.6961538461538461,0.7905769230769231,0.6923076923076923,0.7,
None (identity),Class-conditional PCA,K-TSP (Top-Scoring Pairs),0.783665,True,False,True,False,0.8235294117647058,0.8215384615384616,0.8984615384615384,0.9230769230769231,0.72,
None (identity),Class-conditional PCA,Nearest Shrunken Centroid,0.708008,True,False,True,False,0.6470588235294118,0.6426923076923077,0.644423076923077,0.8653846153846154,0.42,
None (identity),Rank transform (TSP-style),Random Forest,4.150675,True,False,True,False,0.9117647058823529,0.9123076923076923,0.9223076923076924,0.8846153846153846,0.94,
None (identity),Rank transform (TSP-style),Gradient Boosting,63.207611,True,False,True,False,0.9117647058823529,0.9115384615384616,0.9588461538461538,0.9230769230769231,0.9,
None (identity),Rank transform (TSP-style),Hist Gradient Boosting,55.416679,True,False,True,False,0.9117647058823529,0.9115384615384616,0.9557692307692308,0.9230769230769231,0.9,
None (identity),Rank transform (TSP-style),Logistic Regression,1.286848,True,False,True,False,0.8921568627450981,0.8919230769230769,0.9326923076923077,0.9038461538461539,0.88,
None (identity),Rank transform (TSP-style),SVM (linear),2.309617,True,False,True,False,0.9117647058823529,0.911923076923077,0.9415384615384615,0.9038461538461539,0.92,
None (identity),Rank transform (TSP-style),SVM (RBF),2.532594,True,False,True,False,0.8921568627450981,0.8919230769230769,0.9296153846153846,0.9038461538461539,0.88,
None (identity),Rank transform (TSP-style),Decision Tree,1.745437,True,False,True,False,0.8725490196078431,0.8730769230769231,0.8730769230769231,0.8461538461538461,0.9,
None (identity),Rank transform (TSP-style),Naive Bayes,0.902744,True,False,True,False,0.5882352941176471,0.5861538461538461,0.6100000000000001,0.6923076923076923,0.48,
None (identity),Rank transform (TSP-style),k-NN,0.855863,True,False,True,False,0.7647058823529411,0.7626923076923078,0.8153846153846154,0.8653846153846154,0.66,
None (identity),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),4.153356,True,False,True,False,0.8627450980392157,0.8630769230769231,0.9130769230769231,0.8461538461538461,0.88,
None (identity),Rank transform (TSP-style),Nearest Shrunken Centroid,0.840884,True,False,True,False,0.5784313725490197,0.5776923076923077,0.5776923076923077,0.6153846153846154,0.54,
None (identity),Select best 500 genes,Random Forest,4.603966,True,False,True,False,0.9215686274509803,0.9219230769230768,0.9463461538461538,0.9038461538461539,0.94,
None (identity),Select best 500 genes,Gradient Boosting,2.815264,True,False,True,False,0.8921568627450981,0.8915384615384616,0.9071153846153845,0.9230769230769231,0.86,
None (identity),Select best 500 genes,Hist Gradient Boosting,1.212035,True,False,True,False,0.9411764705882353,0.9415384615384615,0.9653846153846153,0.9230769230769231,0.96,
None (identity),Select best 500 genes,Logistic Regression,0.252773,True,False,True,False,0.9411764705882353,0.9407692307692308,0.9688461538461538,0.9615384615384616,0.92,
None (identity),Select best 500 genes,SVM (linear),0.286407,True,False,True,False,0.9411764705882353,0.9407692307692308,0.97,0.9615384615384616,0.92,
None (identity),Select best 500 genes,SVM (RBF),0.293155,True,False,True,False,0.8921568627450981,0.8919230769230769,0.9576923076923077,0.9038461538461539,0.88,
None (identity),Select best 500 genes,Decision Tree,0.218678,True,False,True,False,0.8823529411764706,0.8815384615384616,0.8815384615384616,0.9230769230769231,0.84,
None (identity),Select best 500 genes,Naive Bayes,0.214355,True,False,True,False,0.8431372549019608,0.8423076923076923,0.8473076923076923,0.8846153846153846,0.8,
None (identity),Select best 500 genes,k-NN,0.197527,True,False,True,False,0.8137254901960784,0.8146153846153846,0.9,0.7692307692307693,0.86,
None (identity),Select best 500 genes,K-TSP (Top-Scoring Pairs),3.455759,True,False,True,False,0.9117647058823529,0.911923076923077,0.9567307692307694,0.9038461538461539,0.92,
None (identity),Select best 500 genes,Nearest Shrunken Centroid,0.185248,True,False,True,False,0.7843137254901961,0.7826923076923077,0.7817307692307692,0.8653846153846154,0.7,
Standardize (z-score),None (identity),Random Forest,4.473346,True,False,True,False,0.8823529411764706,0.8823076923076922,0.928076923076923,0.8846153846153846,0.88,
Standardize (z-score),None (identity),Gradient Boosting,56.333249,True,False,True,False,0.8921568627450981,0.8911538461538462,0.9165384615384615,0.9423076923076923,0.84,
Standardize (z-score),None (identity),Hist Gradient Boosting,38.648521,True,False,True,False,0.9215686274509803,0.9219230769230768,0.9615384615384616,0.9038461538461539,0.94,
Standardize (z-score),None (identity),Logistic Regression,0.339392,True,False,True,False,0.9117647058823529,0.911923076923077,0.9361538461538461,0.9038461538461539,0.92,
Standardize (z-score),None (identity),SVM (linear),1.327296,True,False,True,False,0.9117647058823529,0.911923076923077,0.9457692307692307,0.9038461538461539,0.92,
Standardize (z-score),None (identity),SVM (RBF),1.56269,True,False,True,False,0.9215686274509803,0.9223076923076923,0.9173076923076923,0.8846153846153846,0.96,
Standardize (z-score),None (identity),Decision Tree,0.796432,True,False,True,False,0.7941176470588235,0.7934615384615384,0.7934615384615384,0.8269230769230769,0.76,
Standardize (z-score),None (identity),Naive Bayes,0.200277,True,False,True,False,0.6078431372549019,0.6034615384615385,0.6034615384615385,0.8269230769230769,0.38,
Standardize (z-score),None (identity),k-NN,0.159445,True,False,True,False,0.7941176470588235,0.791923076923077,0.8657692307692308,0.9038461538461539,0.68,
